period_begin,period_end,region,state,state_code,property_type, median_sale_price , median_list_price , homes_sold , pending_sales , new_listings , inventory , months_of_supply , median_days_on_market ,avg_sale_to_list,sold_above_list
1/1/2018,1/31/2018,"Swift County, MN",Minnesota,MN,Single Family Residential," $66,800.00 "," $102,000.00 ", 6.00 , 2.00 , 4.00 , 31.00 , 5.20 , 127.00 ,93.74%,0.00%
1/1/2018,1/31/2018,"Manatee County, FL",Florida,FL,Single Family Residential," $294,396.00 "," $304,900.00 ", 429.00 , 460.00 , 882.00 ," 2,292.00 ", 5.30 , 60.00 ,96.57%,7.23%
1/1/2018,1/31/2018,"Osage County, OK",Oklahoma,OK,Single Family Residential," $128,250.00 "," $129,900.00 ", 22.00 , 21.00 , 40.00 , 124.00 , 5.60 , 38.00 ,94.08%,4.55%
1/1/2018,1/31/2018,"Dauphin County, PA",Pennsylvania,PA,Single Family Residential," $189,000.00 "," $144,750.00 ", 140.00 , 97.00 , 136.00 , 571.00 , 4.10 , 68.00 ,97.58%,17.86%
1/1/2018,1/31/2018,"Fairfax City County, VA",Virginia,VA,Single Family Residential," $525,000.00 "," $550,000.00 ", 9.00 , 10.00 , 15.00 , 24.00 , 2.70 , 44.00 ,98.07%,22.22%
1/1/2018,1/31/2018,"Chatham County, NC",North Carolina,NC,Single Family Residential," $405,000.00 "," $425,000.00 ", 59.00 , 32.00 , 114.00 , 392.00 , 6.60 , 128.00 ,97.73%,23.73%
1/1/2018,1/31/2018,"Clermont County, OH",Ohio,OH,Single Family Residential," $165,000.00 "," $179,900.00 ", 123.00 , 85.00 , 169.00 , 572.00 , 4.70 , 81.00 ,96.47%,10.57%
1/1/2018,1/31/2018,"Lafayette County, WI",Wisconsin,WI,Single Family Residential," $129,900.00 "," $149,900.00 ", 5.00 , 2.00 , 7.00 , 45.00 , 9.00 , 47.00 ,93.90%,20.00%
1/1/2018,1/31/2018,"Rabun County, GA",Georgia,GA,Single Family Residential," $275,000.00 "," $203,500.00 ", 21.00 , 5.00 , 24.00 , 235.00 , 11.20 , 200.00 ,92.35%,0.00%
1/1/2018,1/31/2018,"Forsyth County, GA",Georgia,GA,Single Family Residential," $335,950.00 "," $354,900.00 ", 260.00 , 202.00 , 351.00 ," 1,250.00 ", 4.80 , 74.00 ,97.40%,11.54%
