SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,PPOPCHG_2020,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_POPEST2020,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_NPCHG2020,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019,NRANK_PPCHG2020
40,3,6,1,Alabama,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5039877,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,0.112884243,0.295224296,0.353984735,0.310465902,0.251490918,0.228459968,0.247610459,0.229410392,0.279602927,0.33397879,0.276428214,23,23,23,23,23,23,24,24,24,24,24,24,28,32,25,31,31,29,28,28,24,18,18,36,38,34,33,35,36,34,32,26,26,27
40,4,9,2,Alaska,710246,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,732673,3736,8367,8461,6816,-551,1355,4145,-1592,-4359,-3021,-2445,0.52601493,1.171878283,1.171317466,0.932663757,-0.074699102,0.183834752,0.561326057,-0.214389119,-0.588272605,-0.410114251,-0.333286532,47,47,47,47,47,48,48,48,48,48,48,48,32,40,40,42,47,42,37,43,46,43,39,2,7,10,18,47,37,22,46,50,47,46
40,4,8,4,Arizona,6392292,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,7276316,15050,66074,82928,78346,98183,99937,111957,103321,116140,127615,129558,0.235439808,1.031223244,1.281054701,1.194964755,1.479843067,1.484314348,1.638520609,1.487753297,1.647822785,1.781280551,1.776752462,16,16,16,15,15,15,14,14,14,14,14,14,11,10,7,5,4,7,7,7,3,3,3,17,10,8,7,7,9,8,6,4,3,2
40,3,7,5,Arkansas,2916029,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,3025891,5969,19040,11838,7583,8300,10973,12083,12040,8306,8824,9537,0.204696181,0.651608933,0.40251095,0.256800489,0.28036193,0.369615722,0.405506267,0.4024313,0.27651135,0.292945829,0.315691736,32,32,32,32,32,32,33,32,32,33,33,33,26,25,35,41,37,30,27,26,30,26,22,22,28,31,38,31,30,27,24,28,28,25
40,4,9,6,California,37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,39237836,65028,316761,308240,309217,332938,317590,244890,188599,99678,147,-69532,0.174550622,0.848780331,0.818996315,0.814918063,0.870340407,0.823055484,0.629467759,0.481744371,0.253389966,0.000372742,-0.176308858,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,6,37,49,27,19,21,21,16,17,20,23,30,37,42
40,4,8,8,Colorado,5029319,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719,5812069,18220,74361,71760,77114,81863,101691,89516,73577,79734,61331,49233,0.362275688,1.473212986,1.401042582,1.484771818,1.5531495,1.899829934,1.641192096,1.32718381,1.419405809,1.076519772,0.854964308,22,22,22,22,22,22,22,21,21,21,21,21,10,9,9,6,8,6,8,8,8,8,9,6,4,5,5,4,3,7,9,5,9,12
40,1,1,9,Connecticut,3574151,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006,3605597,5022,9459,6579,581,-95,-7136,-8731,-4506,-763,-8539,-9016,0.140508893,0.264278927,0.183328912,0.016160387,-0.002641977,-0.198459436,-0.243300866,-0.125871899,-0.021340723,-0.238882481,-0.252830745,29,29,29,29,29,29,29,29,29,29,29,29,30,38,44,48,46,49,48,46,43,47,43,30,43,42,50,46,50,49,44,42,46,44
40,3,5,10,Delaware,897947,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809,1003384,1700,7943,7928,8544,9069,8934,7924,7953,9043,9683,10141,0.189320751,0.882901849,0.873522185,0.933242165,0.981427653,0.957421841,0.84113092,0.837167588,0.944002873,1.001359897,1.038326228,45,45,45,45,45,45,45,45,45,45,45,45,43,41,41,39,35,32,34,33,27,24,21,24,16,18,17,13,15,17,17,14,12,9
40,3,5,11,District of Columbia,601767,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816,670050,3515,15008,15447,15822,12044,13411,10562,9503,7068,4106,4563,0.58411312,2.479505421,2.490286801,2.488765008,1.848489546,2.020937217,1.560085907,1.38210176,1.013945335,0.583116878,0.644261302,50,50,50,49,49,49,49,49,49,49,49,49,34,31,29,30,32,25,32,32,32,34,29,1,1,1,2,2,2,10,7,11,17,15
40,3,5,12,Florida,18804589,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312,21781128,41554,209464,246409,249662,302202,365231,408126,349852,277837,237130,241256,0.220977975,1.111442272,1.293104964,1.293450384,1.545657616,1.839595082,2.018516047,1.696068165,1.324478339,1.115647262,1.122535694,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,20,9,7,6,5,5,2,5,7,8,7
