state,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
Alabama,2012,141383.3333,174433.3333,263.3333333,242.1666667,1109.333333,0.931812027,0.117614977
Alabama,2013,153825,155558.3333,1801.166667,1838.083333,8119.75,0.95997376,0.185273202
Alabama,2014,157191.6667,159683.3333,1850.166667,1889.5,8391.25,0.960012175,0.177184605
Alabama,2015,162108.3333,164833.3333,2066.166667,2401.583333,9340.416667,0.963852445,0.189315171
Alabama,2016,170041.6667,172683.3333,2283.416667,2625.083333,11045.41667,0.969218591,0.211927181
Alabama,2017,178425,182016.6667,2375.916667,2611.916667,10230.83333,0.970549564,0.201442471
Alabama,2018,190525,195025,2534.833333,2799.166667,9729.5,0.97480251,0.244124561
Alabama,2019,205641.6667,208583.3333,2649.083333,3004.166667,9377.833333,0.976914331,0.235471518
Alabama,2020,225858.3333,224966.6667,2901.25,3042.25,7727.416667,0.983745535,0.257855404
Alabama,2021,254150,250191.6667,3002.166667,2957.666667,5495,1.000219522,0.4032336
Alaska,2012,264133.3333,249541.6667,394.8333333,580.4166667,2738.583333,0.981644598,0.187416528
Alaska,2013,270300,256500,456.8333333,636.75,2893,0.982652517,0.197116634
Alaska,2014,269866.6667,260100,473.75,624.25,2701.583333,0.984070226,0.1997274
Alaska,2015,278000,274325,512,656.5,2739.166667,0.985026867,0.198719518
Alaska,2016,284558.3333,277508.3333,499.0833333,660.8333333,2898.25,0.984613144,0.188825133
Alaska,2017,282741.6667,275175,473.0833333,641.0833333,2713,0.983813999,0.185908289
Alaska,2018,289525,281575,475.8333333,642.5833333,2843.083333,0.983193124,0.180123345
Alaska,2019,291483.3333,287691.6667,491.75,640,2689.75,0.985503966,0.205271579
Alaska,2020,312550,309366.6667,549.5833333,621.8333333,1544.916667,0.988074563,0.236196342
Alaska,2021,340891.6667,330391.6667,604.6666667,662.25,859.3333333,0.997039437,0.345945268
Arizona,2012,155408.3333,158041.6667,7620,8644.916667,22190.91667,0.990501942,0.286029261
Arizona,2013,191200,194191.6667,7298.5,8759.25,23245.25,0.982694797,0.20932883
Arizona,2014,206525,211891.6667,6592.25,8396.75,28817.75,0.974962113,0.134760244
Arizona,2015,220450,224908.3333,7216.333333,8577.333333,26166.5,0.977398084,0.14574662
Arizona,2016,234541.6667,237158.3333,7756.583333,9032.333333,26385.33333,0.979379095,0.14973777
Arizona,2017,251416.6667,251783.3333,8162.083333,9042.5,23899,0.981275528,0.157210532
Arizona,2018,271800,271066.6667,8152.75,9097.416667,22377.25,0.983078889,0.166498895
Arizona,2019,290550,287883.3333,8484.916667,8966.5,21335.33333,0.984031926,0.173480304
Arizona,2020,326875,319666.6667,8843.583333,9010.75,15589.25,0.991286767,0.277310011
Arizona,2021,409425,396591.6667,9077.75,9349.666667,11574.5,1.011091643,0.486647905
Arkansas,2012,122283.3333,130900,267.5,338.3333333,1538.25,0.93352963,0.104152897
Arkansas,2013,133633.3333,138891.6667,954.5,1152.583333,5385.5,0.952858832,0.138982424
Arkansas,2014,137666.6667,144550,1495.166667,1796.333333,8229.583333,0.955122851,0.097581941
Arkansas,2015,145450,149558.3333,1883.583333,2287.833333,9710.75,0.959448329,0.102847825
Arkansas,2016,152441.6667,156941.6667,2073.833333,2423.666667,9644.833333,0.965863188,0.120142284
Arkansas,2017,157616.6667,162216.6667,2007.25,2304.25,8657,0.967849681,0.118800091
Arkansas,2018,166966.6667,171941.6667,2140.75,2508.583333,8869.083333,0.970190721,0.125098644
Arkansas,2019,176650,179908.3333,2296.083333,2584.75,8797.833333,0.971640836,0.12631629
Arkansas,2020,192050,196475,2640.5,2720.166667,7624,0.97771909,0.17168555
