parent_metro_region,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
"Aberdeen, WA",2012,111437.08333333333,132641.66666666666,56.666666666666664,109.75,639.0,0.9386195571715374,0.10628478677402346
"Aberdeen, WA",2013,116672.91666666667,131854.16666666666,65.16666666666667,121.25,632.75,0.9457274665803331,0.1199672082812343
"Aberdeen, WA",2014,119054.125,134310.0,76.0,114.08333333333333,579.8333333333334,0.9492116255484248,0.13677305049388555
"Aberdeen, WA",2015,133762.5,145335.41666666666,85.58333333333333,114.83333333333333,488.8333333333333,0.9549651202415363,0.1287746139840327
"Aberdeen, WA",2016,146423.41666666666,156662.5,102.91666666666667,124.83333333333333,439.0833333333333,0.9637799616032559,0.16427002124573456
"Aberdeen, WA",2017,166808.33333333334,178712.45833333334,115.41666666666667,133.33333333333334,380.8333333333333,0.9760386473938554,0.20293178531442788
"Aberdeen, WA",2018,192362.04166666666,197629.16666666666,121.08333333333333,142.33333333333334,359.0833333333333,0.9790645010400141,0.21509798502712563
"Aberdeen, WA",2019,212977.08333333334,219287.41666666666,120.75,141.0,332.5,0.983949714143672,0.2567382531224182
"Aberdeen, WA",2020,245881.25,254868.75,130.66666666666666,135.0,213.58333333333334,0.9955923875080459,0.3317610200608448
"Aberdeen, WA",2021,304912.5,318550.0,143.66666666666666,156.0,176.58333333333334,1.0111550088560024,0.42796966076312426
"Abilene, TX",2012,99922.36111111111,106482.63888888889,44.22222222222222,62.5,225.47222222222223,0.9430946991216929,0.07143823371512856
"Abilene, TX",2013,104951.5,110673.33333333333,48.416666666666664,61.55555555555556,196.88888888888889,0.9579808358613577,0.11074018355750487
"Abilene, TX",2014,119603.04166666667,128719.44444444444,49.75,61.416666666666664,189.66666666666666,0.949439554438053,0.07983272414010575
"Abilene, TX",2015,127123.61111111111,126922.54166666667,54.666666666666664,69.86111111111111,194.08333333333334,0.954613484891141,0.10645546627177635
"Abilene, TX",2016,128423.86111111111,124543.05555555556,59.833333333333336,74.44444444444444,221.80555555555554,0.9485961284430297,0.08802838212939329
"Abilene, TX",2017,120848.40277777778,126684.58333333333,63.916666666666664,74.63888888888889,211.38888888888889,0.9537652499798879,0.10771462560573855
"Abilene, TX",2018,132361.80555555556,143919.75,63.138888888888886,77.41666666666667,216.08333333333334,0.9618127495096727,0.12297460080432791
"Abilene, TX",2019,148331.80555555556,156409.68055555556,66.02777777777777,77.86111111111111,218.0,0.9634879725749858,0.14050765154680062
